review_text,rating_svg,date,location,supplier_response,company,rating
i purchased 2 expensive sensors from autodoc. first one they put a cheaper unit in the packaging of the more expensive one hoping I wouldn't notice. second one was marked at as correct fitting part... See more,stars-4.svg,2025-10-02 11:07:42+00:00,,,autodoc-de,4
"Edit:
After my review, one member reached out and assured me to fix the issue asap. Today Dec 23, I got confirmation that refund has been processed. I wish it was not that big of a mess to start w... See more",stars-4.svg,2025-12-23 17:29:18+00:00,,,autodoc-de,4
"I had, back in Romania, a good experience with Autodoc, mainly because you have supplied me parts that one hardly can find !
Since I moved to Germany, I had one teriblle experience, making an order... See more",stars-5.svg,2025-09-01 10:24:10+00:00,,,autodoc-de,5
"Poor delivery!

The products were not delivered or were left at the closest location, which is approximately 45 45-minute walk from the given address. In that case, to buy the product, I will cho... See more",stars-5.svg,2025-11-24 17:39:59+00:00,,,autodoc-de,5
"Made a few purchases. It's important to check if the parts fit, best would be to write an email to their support before making a purchase. Also ticking ""safe order"" at the bottom is a good idea (the... See more",stars-5.svg,2025-08-29 08:03:21+00:00,,,autodoc-de,5
"I ordered an exterior mirror through the app. The right product was easy to find, and coincidentally, it was even discounted, and the entire process was quick and easy. Unfortunately, the package coul... See more",stars-5.svg,2025-03-25 13:37:45+00:00,,,autodoc-de,5
Door handle for my old sharan was really cheap but did not fit according to their website. Small letter at the top clearly showed that it would not fit. It was hard to see when I ordered but still my... See more,stars-5.svg,2025-10-12 06:25:03+00:00,,,autodoc-de,5
"I've been using this service for a long time. I'm mostly satisfied with everything, there's a wide selection.",stars-4.svg,2025-10-13 17:06:06+00:00,,,autodoc-de,4
"I have been buying from them for a year now, what i care the most is aftersale service, and these guys nails it, you can reach out to them and they will offer few solutions to make you happy, their c... See more",stars-5.svg,2025-10-21 09:52:33+00:00,,,autodoc-de,5
"""I am giving 3 stars because there is no option to choose the shipping method. I can't select whether the package is sent via DHL or UPS. Additionally, there is no option to pay more for faster deli... See more",stars-3.svg,2025-04-01 09:53:59+00:00,,,autodoc-de,3
"what made my experience great this time. I have been using this market for a long time, the spare parts are great, I am satisfied. This time I ordered the spare parts in advance, but the next day I... See more",stars-5.svg,2025-06-15 00:52:22+00:00,,,autodoc-de,5
"My experience has always been great with AUTODOC. They have the most user-friendly parts catalogue out there as well as a great customer service in many languages.
As a service they do great, but som... See more",stars-5.svg,2025-10-28 18:16:16+00:00,,,autodoc-de,5
"Autodoc is great option to buy parts online, if you subscribe to the autodoc plus package you will be able to apply your VIN for every part so a expert could match the part that is supposed to be for... See more",stars-5.svg,2026-03-07 11:56:12+00:00,,,autodoc-de,5
"Ordering three wipers (2 x Front + Rear) for a Renault Space Tourer. None of those could be attached despite providing correct VIN, Company, Model and other required parameters. Support later admitted... See more",stars-5.svg,2025-09-30 19:48:01+00:00,,,autodoc-de,5
"I’m satisfied with everything products, time and service, but one thing i don’t like was the shipping cost specially if you only need small parts :(",stars-5.svg,2025-11-17 13:45:46+00:00,,,autodoc-de,5
"Order ok, item ok. 
Four stars because of delivery. I wasn't home and they have left package 35min away from my home.",stars-4.svg,2025-07-04 11:27:50+00:00,,,autodoc-de,4
11 euros shipping for a 96 cent lightbulb. Completely out of proportion. My husband didn't pay attention. No way of stopping the order within seconds of noticing. Only order bigger products from Auto... See more,stars-3.svg,2025-05-29 15:59:26+00:00,,,autodoc-de,3
"How are you going to send me the wrong part but charge me to send it back to you? 

This review has been edited due to the excellent customer support I received, return shipping was paid for in the... See more",stars-3.svg,2025-04-23 15:10:11+00:00,,,autodoc-de,3
"I'm buying spare parts for my cars from them for 6 years and they are doing a great job. Recently we made a mistake on a purchase, but we repaired that and all is good 👍😊",stars-5.svg,2025-10-31 19:35:44+00:00,,,autodoc-de,5
"Support is working good, you just need to ask about compatibility of spare with your car using your VIN code. Best prices!)))) Thank you!))))",stars-5.svg,2025-07-07 12:12:13+00:00,,,autodoc-de,5
"Nešto duže smo čekali na pošiljku, ali  na kraju sve je utredno dostavljeno i u potpunosti!
Moje preporuke svima.",stars-5.svg,2026-01-12 14:56:32+00:00,,,autodoc-de,5
