review_text,rating_svg,date,location,supplier_response,verified,company,review_text_clean,review_text_clean_advanced
i purchased 2 expensive sensors from autodoc. first one they put a cheaper unit in the packaging of the more expensive one hoping I wouldn't notice. second one was marked at as correct fitting part...See more,4,2025-10-02 11:07:42+00:00,,,0,autodoc-de,i purchased 2 expensive sensors from autodoc first one they put a cheaper unit in the packaging of the more expensive one hoping I wouldnt notice second one was marked at as correct fitting partSee more,purchased 2 expensive sensor autodoc first one put cheaper unit packaging expensive one hoping wouldnt notice second one marked correct fitting partsee
"Edit:
After my review, one member reached out and assured me to fix the issue asap. Today Dec 23, I got confirmation that refund has been processed. I wish it was not that big of a mess to start w...See more",4,2025-12-23 17:29:18+00:00,,,0,autodoc-de,Edit After my review one member reached out and assured me to fix the issue asap Today Dec 23 I got confirmation that refund has been processed I wish it was not that big of a mess to start wSee more,edit review one member reached assured fix issue asap today dec 23 got confirmation refund processed wish big mess start wsee
"I had, back in Romania, a good experience with Autodoc, mainly because you have supplied me parts that one hardly can find !
Since I moved to Germany, I had one teriblle experience, making an order...See more",5,2025-09-01 10:24:10+00:00,,,0,autodoc-de,I had back in Romania a good experience with Autodoc mainly because you have supplied me parts that one hardly can find  Since I moved to Germany I had one teriblle experience making an orderSee more,back romania good experience autodoc mainly supplied part one hardly find since moved germany one teriblle experience making ordersee
"Poor delivery!

The products were not delivered or were left at the closest location, which is approximately 45 45-minute walk from the given address. In that case, to buy the product, I will cho...See more",5,2025-11-24 17:39:59+00:00,,,1,autodoc-de,Poor delivery The products were not delivered or were left at the closest location which is approximately 45 45minute walk from the given address In that case to buy the product I will choSee more,poor delivery product delivered left closest location approximately 45 45minute walk given address case buy product chosee
"Made a few purchases. It's important to check if the parts fit, best would be to write an email to their support before making a purchase. Also ticking ""safe order"" at the bottom is a good idea (the...See more",5,2025-08-29 08:03:21+00:00,,,0,autodoc-de,Made a few purchases Its important to check if the parts fit best would be to write an email to their support before making a purchase Also ticking safe order at the bottom is a good idea theSee more,made purchase important check part fit best would write email support making purchase ticking safe order bottom good idea thesee
"I ordered an exterior mirror through the app. The right product was easy to find, and coincidentally, it was even discounted, and the entire process was quick and easy. Unfortunately, the package coul...See more",5,2025-03-25 13:37:45+00:00,,,0,autodoc-de,I ordered an exterior mirror through the app The right product was easy to find and coincidentally it was even discounted and the entire process was quick and easy Unfortunately the package coulSee more,ordered exterior mirror app right product easy find coincidentally even discounted entire process quick easy unfortunately package coulsee
"I really like that they have every part available, very well packaged and awesome tracking service! 
Could have a faster delivery time but that's just something I can work with.",5,2026-03-17 18:42:13+00:00,,,1,autodoc-de,I really like that they have every part available very well packaged and awesome tracking service Could have a faster delivery time but thats just something I can work with,really like every part available well packaged awesome tracking service could faster delivery time thats something work
Door handle for my old sharan was really cheap but did not fit according to their website. Small letter at the top clearly showed that it would not fit. It was hard to see when I ordered but still my...See more,5,2025-10-12 06:25:03+00:00,,,0,autodoc-de,Door handle for my old sharan was really cheap but did not fit according to their website Small letter at the top clearly showed that it would not fit It was hard to see when I ordered but still mySee more,door handle old sharan really cheap fit according website small letter top clearly showed would fit hard see ordered still mysee
"""I am giving 3 stars because there is no option to choose the shipping method. I can't select whether the package is sent via DHL or UPS. Additionally, there is no option to pay more for faster deli...See more",3,2025-04-01 09:53:59+00:00,,,1,autodoc-de,I am giving 3 stars because there is no option to choose the shipping method I cant select whether the package is sent via DHL or UPS Additionally there is no option to pay more for faster deliSee more,giving 3 star option choose shipping method cant select whether package sent via dhl ups additionally option pay faster delisee
"I have been buying from them for a year now, what i care the most is aftersale service, and these guys nails it, you can reach out to them and they will offer few solutions to make you happy, their c...See more",5,2025-10-21 09:52:33+00:00,,,0,autodoc-de,I have been buying from them for a year now what i care the most is aftersale service and these guys nails it you can reach out to them and they will offer few solutions to make you happy their cSee more,buying year care aftersale service guy nail reach offer solution make happy csee
"what made my experience great this time. I have been using this market for a long time, the spare parts are great, I am satisfied. This time I ordered the spare parts in advance, but the next day I...See more",5,2025-06-15 00:52:22+00:00,,,0,autodoc-de,what made my experience great this time I have been using this market for a long time the spare parts are great I am satisfied This time I ordered the spare parts in advance but the next day ISee more,made experience great time using market long time spare part great satisfied time ordered spare part advance next day isee
"My experience has always been great with AUTODOC. They have the most user-friendly parts catalogue out there as well as a great customer service in many languages.
As a service they do great, but som...See more",5,2025-10-28 18:16:16+00:00,,,1,autodoc-de,My experience has always been great with AUTODOC They have the most userfriendly parts catalogue out there as well as a great customer service in many languages As a service they do great but somSee more,experience always great autodoc userfriendly part catalogue well great customer service many language service great somsee
